iter	Logloss
0	0.6871902761
1	0.6787531486
2	0.6722751652
3	0.6645534386
4	0.6583254305
5	0.6517376811
6	0.645019805
7	0.6394287641
8	0.633574111
9	0.6275054849
10	0.6232226557
11	0.6167666279
12	0.6105607505
13	0.6055383782
14	0.6001658996
15	0.5953562059
16	0.5894633219
17	0.5842851464
18	0.5787489155
19	0.5736283636
20	0.5693536595
21	0.5633772674
22	0.5607772562
23	0.5565529324
24	0.5518567974
25	0.5471371137
26	0.5427500154
27	0.5389379208
28	0.5350449509
29	0.5301607448
30	0.5264582358
31	0.5224021974
32	0.5195456648
33	0.5156897703
34	0.5117407691
35	0.5088521794
36	0.5049337629
37	0.5008918753
38	0.4963585554
39	0.4926211699
40	0.4892227015
41	0.4857938224
42	0.4829289647
43	0.4792079711
44	0.4766640794
45	0.47381392
46	0.4715920493
47	0.4690844037
48	0.4665808361
49	0.463904421
50	0.4613966501
51	0.4586906039
52	0.4557019494
53	0.4526448931
54	0.4502409227
55	0.4482520633
56	0.4454198945
57	0.4433359325
58	0.4410351979
59	0.4398548527
60	0.4374474823
61	0.4355863041
62	0.4325904817
63	0.4310132614
64	0.4286717875
65	0.4262165189
66	0.4243182038
67	0.4227135295
68	0.4201602638
69	0.4184771746
70	0.4160576096
71	0.4140678769
72	0.412910339
73	0.4111232523
74	0.4093744033
75	0.4071470736
76	0.4049181727
77	0.4027094549
78	0.4003352043
79	0.3980881022
80	0.3960799477
81	0.3942083699
82	0.3926650967
83	0.3910353034
84	0.3891421829
85	0.3874279747
86	0.3858942054
87	0.3841552075
88	0.3834380737
89	0.3815292256
90	0.3801632652
91	0.3792390272
92	0.3785907936
93	0.3781826296
94	0.3766762715
95	0.3751271451
96	0.3747299673
97	0.3729744183
98	0.3714192272
99	0.3704842304
100	0.3695576233
101	0.3680896452
102	0.3663928872
103	0.36529968
104	0.3646576486
105	0.3633624072
106	0.3618609116
107	0.3601213931
108	0.359439702
109	0.3581704344
110	0.356719163
111	0.3564504767
112	0.3550777707
113	0.353948313
114	0.3525696867
115	0.3520088225
116	0.350872126
117	0.3495002029
118	0.3486766617
119	0.3471775714
120	0.3456860753
121	0.344496237
122	0.3437786081
123	0.3428456923
124	0.3419589996
125	0.3411384505
126	0.3401163726
127	0.3390912611
128	0.3384292541
129	0.3375301238
130	0.336666529
131	0.3357555103
132	0.3346071281
133	0.3342277527
134	0.3331977826
135	0.3326412954
136	0.3314449739
137	0.330863545
138	0.3302936525
139	0.3298754325
140	0.3290712836
141	0.3289276582
142	0.3281463687
143	0.327521801
144	0.3271845644
145	0.3264723063
146	0.3254798629
147	0.3247782945
148	0.3234426171
149	0.3227582737
150	0.32196492
151	0.3216160705
152	0.3209164007
153	0.3204936684
154	0.3198007146
155	0.3188783723
156	0.3183316943
157	0.3171777442
158	0.3164052002
159	0.3152128967
160	0.3151175068
161	0.3145207892
162	0.3140516398
163	0.3134231453
164	0.3125149118
165	0.311437928
166	0.310998093
167	0.310157449
168	0.3092686907
169	0.3087243336
170	0.3078454108
171	0.3074610032
172	0.3070073
173	0.3063678484
174	0.3057437127
175	0.3053229541
176	0.3046132317
177	0.3037018185
178	0.3031026069
179	0.3025464896
180	0.3022239096
181	0.301678666
182	0.3010600935
183	0.2999139318
184	0.2993624357
185	0.2987840368
186	0.2983983577
187	0.2983610676
188	0.2980557168
189	0.2973697663
190	0.2968354222
191	0.2959610654
192	0.2957343899
193	0.2953925189
194	0.2946144933
195	0.2939829897
196	0.2934768333
197	0.2929221891
198	0.292359765
199	0.292339848
200	0.2919365685
201	0.2915325093
202	0.2909595641
203	0.2903788773
204	0.2898324705
205	0.2894634564
206	0.2888611197
207	0.2883669785
208	0.2879185475
209	0.2874272423
210	0.2868067661
211	0.2861870981
212	0.2855260521
213	0.2852297245
214	0.2844701236
215	0.2844640471
216	0.283904672
217	0.2835601974
218	0.28295517
219	0.2826718908
220	0.2822409207
221	0.2821652542
222	0.2816509474
223	0.2811830084
224	0.2806775821
225	0.2802020297
226	0.2794926647
227	0.279112864
228	0.2787121895
229	0.2785088273
230	0.2781575356
231	0.2778156631
232	0.2774729894
233	0.2768045097
234	0.2765724544
235	0.2761562784
236	0.275649758
237	0.2750516597
238	0.2747736901
239	0.2745272418
240	0.2743443932
241	0.2739231642
242	0.2733906214
243	0.2731839992
244	0.2729231272
245	0.2726678844
246	0.2723936363
247	0.2717935133
248	0.2717290975
249	0.2715294821
250	0.2713661524
251	0.2713657925
252	0.2713498817
253	0.270817745
254	0.270624839
255	0.2702818272
256	0.2699815935
257	0.2699139473
258	0.2698621245
259	0.2694709858
260	0.2688279055
261	0.2682234902
262	0.2681594134
263	0.2678480298
264	0.2675917258
265	0.2672782129
266	0.2667568771
267	0.2664511282
268	0.2660881715
269	0.2655765556
270	0.2653174137
271	0.2649195578
272	0.264607447
273	0.2645549153
274	0.2644910635
275	0.2641790617
276	0.2640490631
277	0.2634940181
278	0.2630865157
279	0.2627596018
280	0.2624702509
281	0.2619060218
282	0.2612184986
283	0.260658959
284	0.2605344533
285	0.2602995227
286	0.2600415995
287	0.2594619032
288	0.2591084489
289	0.259000346
290	0.2585013015
291	0.2584997058
292	0.2581951567
293	0.2581779935
294	0.2579180411
295	0.2577307724
296	0.2574461747
297	0.2573641671
298	0.2573641612
299	0.2572458111
300	0.2571996358
301	0.2566804499
302	0.2563348778
303	0.2558083313
304	0.2556621124
305	0.255367525
306	0.255205297
307	0.2547498678
308	0.2545553157
309	0.2542901048
310	0.2539777022
311	0.2536950201
312	0.2535674454
313	0.2532712265
314	0.2529089361
315	0.2525718097
316	0.252425081
317	0.2521204968
318	0.2516886244
319	0.2514511257
320	0.251038737
321	0.2506787364
322	0.2503645577
323	0.2500052507
324	0.2499526115
325	0.2497399536
326	0.2495761692
327	0.2493121494
328	0.2490274041
329	0.2488298791
330	0.2488298759
331	0.2487377131
332	0.2482909339
